,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,3.67,,3.33,2.67,3.17,3,3.57,2.43,,2.67,3.67,3,2.5,3.17,3,2.5,2.5,2.83,,,,,,,,,,
2,2.17,,1.83,3.17,3.17,3.14,3.14,1.83,,2.33,2.5,3,2.17,1.83,2,2.67,3.33,3.33,,,,,,,,,,
3,,3.428571429,,3.428571429,,3.428571429,,,2.857142857,,,2.857142857,2.714285714,,,,,,2.857142857,3,3.142857143,2.428571429,2.857142857,2.714285714,2.857142857,3.142857143,2.714285714,2.428571429
4,2.33,,2.17,1.83,2.5,2.57,2.57,2,,2.67,2.17,2.83,2,1.83,2.17,2.17,1.67,2.5,,,,,,,,,,
5,3,,3.33,3.67,3.67,3.43,3.17,3,,3.33,3.17,3.5,3.17,3.5,3.5,3,3,3.5,,,,,,,,,,
6,2.17,,2.83,3.33,2.83,3.29,2.86,2.43,,2.5,2.17,2.67,2.67,1.83,2.17,2.67,3.17,3.33,,,,,,,,,,
7,2.5,,2.33,3,2.83,3.43,3.14,2.5,,3.33,3,2.33,2.83,2.5,2.5,2.83,2.83,3.5,,,,,,,,,,
8,2.33,,2,2.8,1.83,2.71,2.86,2.43,,2.5,2.5,2.17,2.33,1.83,1.83,2.17,2.17,2.17,,,,,,,,,,
9,2.83,,1.67,2,1.83,2.57,2.86,2.29,,2.5,2.83,2.5,2.67,1.83,2,2.33,2.17,2.67,,,,,,,,,,
10,3.67,,3.5,2.83,3.67,3.14,3.43,3.43,,3,3.67,3.33,3,3.5,3.33,3,3.17,3.4,,,,,,,,,,
11,2.33,,2,3.33,3.17,2.57,2.86,2.29,,2.33,2.33,2.33,2.33,2.5,2.83,2.5,2.83,2.83,,,,,,,,,,
12,,3.428571429,,3.428571429,,3.428571429,,,2.857142857,,,3,3.142857143,,,,,,3,3.428571429,3.142857143,2.285714286,3.142857143,3.285714286,3.428571429,3.285714286,3,3.166666667
13,,2.857142857,,2.714285714,,3.142857143,,,2.285714286,,,2.428571429,2.571428571,,,,,,2.714285714,2.857142857,2.714285714,2.142857143,3,2.857142857,2.714285714,2.714285714,2.714285714,2.571428571
14,3,,3.33,2.83,3.33,3.29,3.14,3.83,,2.83,3.33,3.17,3,3,3,2.67,3.17,3.17,,,,,,,,,,
15,,2.857142857,,3.285714286,,3.285714286,,,2.857142857,,,3,3,,,,,,2.714285714,3,3.142857143,2.714285714,3,2.714285714,2.833333333,2.857142857,3.142857143,2.857142857
16,2.33,,3.17,3.5,3.5,3.14,2.57,2.33,,3.17,2.67,3,2.5,3.17,3.33,3.17,2.5,3.17,,,,,,,,,,
